task_id	question	task	true_answer	file_name	file_path	Annotator Metadata
5188369a-3bbe-43d8-8b94-11558f909a08	What writer is quoted by Merriam-Webster for the Word of the Day from June 27, 2022?	1	Annie Levin			"{'Steps': '1. Search ""merriam-webster word of the day"" on Google search.\n2. Opened the top ""Word of the Day"" result from the Merriam-Webster dictionary online.\n3. Clicked ""SEE ALL WORDS OF THE DAY"" at the bottom.\n4. Scrolled down to June 27, 2022.\n5. Opened the Word of the Day (""jingoism"").\n6. Scrolled down and identified context quote for ""jingoism"".\n7. Noted the name attributed to the quote. ', 'Number of steps': '7', 'How long did this take?': '8 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. Audio capability', 'Number of tools': '3'}"
dc22a632-937f-4e6a-b72f-ba0ff3f5ff97	What was the complete title of the book in which two James Beard Award winners recommended the restaurant where Ali Khan enjoyed a New Mexican staple in his cost-conscious TV show that started in 2015? Write the numbers in plain text if there are some in the title.	1	Five Hundred Things To Eat Before It's Too Late: and the Very Best Places to Eat Them			"{'Steps': '1. Searched ""Ali Khan New Mexico staple TV show"" on Google.\n2. Opened ""Albuquerque | Cheap Eats"" at https://www.cookingchanneltv.com/shows/cheap-eats/episodes/albuquerque.\n3. Noted the New Mexico staple and the list of restaurants.\n4. Searched ""Albuquerque Cheap Eats carne avodava"" on Google.\n5. Confirmed the restaurant name (Papa Felipe\'s) from the results.\n6. Searched ""James Beard Award winners Papa Felipe\'s"" on Google.\n7. Opened ""Papa Felipe\'s Mexican Restaurant - Albuquerque, New ..."" at https://www.nmgastronome.com/?p=4572.\n8. Clicked the link on the book title.\n9. Copied the full book title from Amazon.', 'Number of steps': '9', 'How long did this take?': '15 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
bda648d7-d618-4883-88f4-3466eabd860e	Where were the Vietnamese specimens described by Kuznetzov in Nedoshivina's 2010 paper eventually deposited? Just give me the city name without abbreviations.	1	Saint Petersburg			"{'Steps': '1. Search ""Kuznetzov Nedoshivina 2010""\n2. Find the 2010 paper ""A catalogue of type specimens of the Tortricidae described by V. I. Kuznetzov from Vietnam and deposited in the Zoological Institute, St. Petersburg""', 'Number of steps': '2', 'How long did this take?': '5 minutes', 'Tools': '1. search engine', 'Number of tools': '1'}"
b816bfce-3d80-4913-a07d-69b752ce6377	In Emily Midkiff's June 2014 article in a journal named for the one of Hreidmar's sons that guarded his house, what word was quoted from two different authors in distaste for the nature of dragon depictions?	1	fluffy			"{'Steps': '1. Searched ""Hreidmar\'s sons"" on Google.\n2. Opened https://en.wikipedia.org/wiki/Hrei%C3%B0marr.\n3. Noted Fafnir guarded his house.\n4. Searched ""Emily Midkiff June 2014 Fafnir"" on Google.\n5. Opened ""Fafnir 2/2014 |"" at http://journal.finfar.org/journal/archive/fafnir-22014/.\n6. Clicked the title \'“Dragons are Tricksy”: The Uncanny Dragons of Children’s Literature\'.\n7. Found the word in quotation marks from two different authors (Ruth Stein and Margaret Blount) in the text.', 'Number of steps': '7', 'How long did this take?': '10 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
23dd907f-1261-4488-b21c-e9185af91d5e	In Audre Lorde’s poem “Father Son and Holy Ghost”, what is the number of the stanza in which some lines are indented?	1	2			{'Steps': '1. Search the web for “Audre Lorde Father Son and Holy Ghost”.\n2. Click on Poetry Foundation result.\n3. Note the stanza that appears to have lines indented, the second one.\n4. Return to search results to confirm.\n5. Click on second result.\n6. Confirm that the indentation appears in the second stanza here as well.', 'Number of steps': '6', 'How long did this take?': '5 minutes', 'Tools': '1. Search engine\n2. Web browser', 'Number of tools': '2'}
46719c30-f4c3-4cad-be07-d5cb21eee6bb	"Of the authors (First M. Last) that worked on the paper ""Pie Menus or Linear Menus, Which Is Better?"" in 2015, what was the title of the first paper authored by the one that had authored prior papers?"	1	Mapping Human Oriented Information to Software Agents for Online Systems Usage			"{'Steps': '1. Searched ""Pie Menus or Linear Menus, Which Is Better?"" on Google.\n2. Opened ""Pie Menus or Linear Menus, Which Is Better?"" on https://oda.oslomet.no/oda-xmlui/handle/10642/3162.\n3. Clicked each author\'s name.\n4. Noted the name that had no other papers listed.\n5. Searched ""Murano, Pietro"" on Google.\n6. Opened http://www.pietromurano.org/.\n7. Clicked ""Publications"".\n8. Found the earliest paper he contributed to.', 'Number of steps': '8', 'How long did this take?': '10 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
935e2cff-ae78-4218-b3f5-115589b19dae	"In the year 2022, and before December, what does ""R"" stand for in the three core policies of the type of content that was violated in the public logs on the Legume Wikipedia page?"	1	research			"{'Steps': '1. Searched ""legume wikipedia"" on Google.\n2. Opened ""Legume"" on Wikipedia.\n3. Clicked ""View history"".\n4. Clicked ""View logs for this page"".\n5. Checked all types of logs.\n6. Set the date to November 2022.\n7. Followed the BLP link of the violation.\n8. Noted the meaning of ""R"".', 'Number of steps': '8', 'How long did this take?': '10 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
a0c07678-e491-4bbc-8f0b-07405144218f	Who are the pitchers with the number before and after Taishō Tamai's number as of July 2023? Give them to me in the form Pitcher Before, Pitcher After, use their last names only, in Roman characters.	1	Yoshida, Uehara			{'Steps': '1. Look up Taishō Tamai on Wikipedia\n2. See the pitcher with the number 18 (before) is Kōsei Yoshida and number 20 (after) is Kenta Uehara', 'Number of steps': '2', 'How long did this take?': '5 minutes', 'Tools': '1. Wikipedia', 'Number of tools': '1'}
5d0080cb-90d7-4712-bc33-848150e917d3	"What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"""	1	0.1777			"{'Steps': '1. Searched \'""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""\' on Google.\n2. Opened ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"" at https://journals.le.ac.uk/ojs1/index.php/jist/article/view/733.\n3. Clicked ""PDF"".\n4. Found the calculations for the volume of the fish bag and noted them.', 'Number of steps': '4', 'How long did this take?': '5 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. PDF access', 'Number of tools': '3'}"
305ac316-eef6-4446-960a-92d80d542f82	Who did the actor who played Ray in the Polish-language version of Everybody Loves Raymond play in Magda M.? Give only the first name.	1	Wojciech			"{'Steps': '1. Search ""Polish-language version of Everybody Loves Raymond"" and pull up the Wiki page for Wszyscy kochają Romana.\n2. See that Bartłomiej Kasprzykowski is marked as playing Ray and go to his Wiki page.\n3. See that he is stated to have played Wojciech Płaska in Magda M.', 'Number of steps': '3', 'How long did this take?': '5 minutes', 'Tools': 'None', 'Number of tools': '0'}"
